Designator,Mid X,Mid Y,Rotation,Layer
C1,149.505,-86.855,90.0,top
J1,140.705,-89.495,180.0,top
J2,145.28,-94.575,180.0,bottom
J3,164.755,-89.505,90.0,top
R1,145.055,-85.33,0.0,top
R2,158.18,-85.78,270.0,top
R3,145.055,-81.755,0.0,top
U1,153.355,-94.28,90.0,top
